AL	12	486952364
AK	56	486952363
AZ	59	486952362
AR	39	486952361
CA	45	486952360
CO	48	486952359
CT	23	486952358
DE	16	486952357
FL	23	486952356
GA	15	486952355
HI	48	486952354
ID	65	486952353
IL	98	486952352
IN	26	486952351
IA	15	486952350
KS	48	486952349
KY	65	486952348
ME	31	486952347
MD	2	486952346
MA	61	486952345
MI	45	486952344
MN	15	486952343
MS	54	486952342
MO	26	486952341
MT	26	486952340
NE	12	486952339
NV	24	486952338
NH	5	486952337
NJ	8	486952336
NM	58	486952335
NY	5	486952334
NC	48	486952333
ND	48	486952332
OH	26	486952331
OK	2	486952330
OR	6	486952329
PA	2	486952328
RI	59	486952327
SC	8	486952326
SD	26	486952325
TN	26	486952324
TX	5	486952323
UT	65	486952322
VT	95	486952321
VA	92	486952320
WA	6	486952319
WV	26	486952318
WI	2	486952317
WY	65	486952316
